id,website,category,asin,title,price,brand,model_name,memory_storage,ram,color,link
11,Amazon,Phones,B0DLL7354W,C24 | 2024 | All-Day Battery | GSM Unlocked | 5.5” Display | 2/16GB | 2300mAh | US Version | US Warranty | White,39.99,Vortex Cellular,C24,16 GB,16 GB,White,https://www.amazon.com/Vortex-C24-All-Day-Unlocked-Warranty/dp/B0DLL7354W/ref=sr_1_11?dib=eyJ2IjoiMSJ9.APC43lzNJj5oXLQnnN48q99AkVhla54C_250l-B_-G6LJFDx0KY6rp7FriYE5w8YZ4B84a8xutKL8L5L9fCxK0oTtJc9HEWgwGiDMBmYzzLygQQ1q2sOsVPN4ALto7rCxkNovkxfyOkpANu9hXDl3EfRH3LU9WaqUE8lSt87UvI1oK7a_sBaWf0gp0XiuN7_5g98ZUKgJPTTB6KU7ZfCubrK5LaxWlwvuUmb3_decH0.RbXZylxL969LsispRBLAZm7VlV1s1ODHjh2kjO2csgA&dib_tag=se&keywords=phone&qid=1738691527&sr=8-11
12,Amazon,Phones,B0CSB14R7J,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black,150.24,Samsung,Samsung Galaxy A15,128 GB,6 GB,Blue Black,https://www.amazon.com/Samsung-SM-155M-DSN-Unlocked-International/dp/B0CSB14R7J/ref=sr_1_13?dib=eyJ2IjoiMSJ9.APC43lzNJj5oXLQnnN48q99AkVhla54C_250l-B_-G6LJFDx0KY6rp7FriYE5w8YZ4B84a8xutKL8L5L9fCxK0oTtJc9HEWgwGiDMBmYzzLygQQ1q2sOsVPN4ALto7rCxkNovkxfyOkpANu9hXDl3EfRH3LU9WaqUE8lSt87UvI1oK7a_sBaWf0gp0XiuN7_5g98ZUKgJPTTB6KU7ZfCubrK5LaxWlwvuUmb3_decH0.RbXZylxL969LsispRBLAZm7VlV1s1ODHjh2kjO2csgA&dib_tag=se&keywords=phone&qid=1738691527&sr=8-13
13,Amazon,Phones,B0DP3F8GK1,"SAMSUNG Galaxy S25 Ultra Cell Phone, 512GB, AI Smartphone, Unlocked Android, AI Camera, Fast Processor, Long Battery Life, 2025, Titanium Silverblue",1299.99,Samsung Electronics,Samsung Galaxy S25 Ultra,512 GB,12 GB,Titanium Silverblue,https://www.amazon.com/SAMSUNG-Smartphone-Unlocked-Processor-Silverblue/dp/B0DP3F8GK1/ref=sr_1_14?dib=eyJ2IjoiMSJ9.APC43lzNJj5oXLQnnN48q99AkVhla54C_250l-B_-G6LJFDx0KY6rp7FriYE5w8YZ4B84a8xutKL8L5L9fCxK0oTtJc9HEWgwGiDMBmYzzLygQQ1q2sOsVPN4ALto7rCxkNovkxfyOkpANu9hXDl3EfRH3LU9WaqUE8lSt87UvI1oK7a_sBaWf0gp0XiuN7_5g98ZUKgJPTTB6KU7ZfCubrK5LaxWlwvuUmb3_decH0.RbXZylxL969LsispRBLAZm7VlV1s1ODHjh2kjO2csgA&dib_tag=se&keywords=phone&qid=1738691527&sr=8-14
14,Amazon,Phones,B0DMCT9V4X,"Mini Phone World's Smallest 3.0"" HD Touch Screen Mini Smartphone Unlocked Android Compact Mobile Phone for Kids &Students Cell Phone wih Quad-Core Dual SLM Face lD2GB+16GB Blue",49.99,soyes,soyes-18pro-bl,16 GB,16 GB,Blue,https://www.amazon.com/soyes-Smallest-Smartphone-Unlocked-Quad-Core/dp/B0DMCT9V4X/ref=sr_1_16?dib=eyJ2IjoiMSJ9.APC43lzNJj5oXLQnnN48q99AkVhla54C_250l-B_-G6LJFDx0KY6rp7FriYE5w8YZ4B84a8xutKL8L5L9fCxK0oTtJc9HEWgwGiDMBmYzzLygQQ1q2sOsVPN4ALto7rCxkNovkxfyOkpANu9hXDl3EfRH3LU9WaqUE8lSt87UvI1oK7a_sBaWf0gp0XiuN7_5g98ZUKgJPTTB6KU7ZfCubrK5LaxWlwvuUmb3_decH0.RbXZylxL969LsispRBLAZm7VlV1s1ODHjh2kjO2csgA&dib_tag=se&keywords=phone&qid=1738691527&sr=8-16
15,Amazon,Phones,B0BZ9XNBRB,Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,337.0,Google,Pixel 7a,128 GB,8 GB,Charcoal,https://www.amazon.com/Google-Pixel-7a-Unlocked-Smartphone/dp/B0BZ9XNBRB/ref=sr_1_15?dib=eyJ2IjoiMSJ9.APC43lzNJj5oXLQnnN48q99AkVhla54C_250l-B_-G6LJFDx0KY6rp7FriYE5w8YZ4B84a8xutKL8L5L9fCxK0oTtJc9HEWgwGiDMBmYzzLygQQ1q2sOsVPN4ALto7rCxkNovkxfyOkpANu9hXDl3EfRH3LU9WaqUE8lSt87UvI1oK7a_sBaWf0gp0XiuN7_5g98ZUKgJPTTB6KU7ZfCubrK5LaxWlwvuUmb3_decH0.RbXZylxL969LsispRBLAZm7VlV1s1ODHjh2kjO2csgA&dib_tag=se&keywords=phone&qid=1738691527&sr=8-15
16,Amazon,Phones,B0CTW6L4R5,Simple Mobile | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,39.88,MOTOROLA INC,Moto G Play,4 GB,4 GB,BLUE,https://www.amazon.com/Simple-Mobile-Motorola-5000mAh-Sapphire/dp/B0CTW6L4R5/ref=sr_1_18?dib=eyJ2IjoiMSJ9.APC43lzNJj5oXLQnnN48q99AkVhla54C_250l-B_-G6LJFDx0KY6rp7FriYE5w8YZ4B84a8xutKL8L5L9fCxK0oTtJc9HEWgwGiDMBmYzzLygQQ1q2sOsVPN4ALto7rCxkNovkxfyOkpANu9hXDl3EfRH3LU9WaqUE8lSt87UvI1oK7a_sBaWf0gp0XiuN7_5g98ZUKgJPTTB6KU7ZfCubrK5LaxWlwvuUmb3_decH0.RbXZylxL969LsispRBLAZm7VlV1s1ODHjh2kjO2csgA&dib_tag=se&keywords=phone&qid=1738691527&sr=8-18
17,Amazon,Phones,B0CRFB8HW4,"SAMSUNG Galaxy A05 (128GB, 4GB) 6.7"" Dual SIM Fully Unlocked Global 4G LTE A055M/DS (Black)",97.72,Samsung,Samsung Galaxy A05,128 GB,6 GB,Black,https://www.amazon.com/SAMSUNG-Galaxy-Unlocked-Global-DS/dp/B0CRFB8HW4/ref=sr_1_19?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-19
18,Amazon,Phones,B086QCGQ8C,"AT&T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",78.95,‎AT&T,,,,‎Silver/Black,https://www.amazon.com/AT-BL102-3-3-Handset-Answering-Unsurpassed/dp/B086QCGQ8C/ref=sr_1_20?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-20
19,Amazon,Phones,B0DD8HL23R,BLU G44 | 2024 | All-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 64GB | Triple 13MP Camera | US Warranty| Blue,69.99,BLU,G44,64 GB,2 GB,BLUE,https://www.amazon.com/BLU-All-Day-Unlocked-Infinity-Warranty/dp/B0DD8HL23R/ref=sr_1_21?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-21
20,Amazon,Phones,B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",59.99,‎Panasonic,,,,‎Metallic Black,https://www.amazon.com/Panasonic-Answering-Bilingual-High-Contrast-Expandable/dp/B0BZG14KFJ/ref=sr_1_22?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-22
21,Amazon,Phones,B0D3RWZ39S,Nokia 2780 Flip | Unlocked | Universally Compatible with All Mobile Carriers | Black,64.99,HMD Global Oy,2780,4 GB,512 MB,Black,https://www.amazon.com/Nokia-Unlocked-Universally-Compatible-Carriers/dp/B0D3RWZ39S/ref=sr_1_23?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-23
22,Amazon,Phones,B0DCLCPN9T,"SAMSUNG Galaxy S24 FE AI Phone, 128GB Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, US 1 Yr Manufacturer Warranty, Graphite",499.99,Samsung,Galaxy S24 FE,128 GB,8 GB,Graphite,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-High-Res-Manufacturer/dp/B0DCLCPN9T/ref=sr_1_24?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-24
23,Amazon,Phones,B0D2JB6HP5,Motorola Edge | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Midnight Blue,444.99,Motorola,motorola edge 2024,256 GB,8 GB,Midnight Blue,https://www.amazon.com/Motorola-Unlocked-256GB-Camera-Midnight/dp/B0D2JB6HP5/ref=sr_1_25?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-25
24,Amazon,Phones,B0DNRK51QQ,Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,199.99,Motorola,Moto G - 2025,12 GB,4 GB,Forest Gray,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Forest/dp/B0DNRK51QQ/ref=sr_1_26?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-26
25,Amazon,Phones,B0CSGK59ZB,"Panasonic Corded/Cordless Phone with Advanced Call Block, 2-Way Recording and Digital Answering Machine, 2 Handsets Expandable up to 6 Cordless Handsets - KX-TGF852B (Black)",84.99,Panasonic,,,,,https://www.amazon.com/Panasonic-Cordless-Recording-Answering-Expandable/dp/B0CSGK59ZB/ref=sr_1_29?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-29
26,Amazon,Phones,B0BTMRRKG7,"Panasonic Cordless Phone with Advanced Call Block, One-Ring Scam Alert, and 2-Way Recording with Answering Machine, 4 Handsets - KX-TGF944B (Black)",129.99,‎Panasonic,,,,‎Black,https://www.amazon.com/Panasonic-Cordless-Advanced-Recording-Answering/dp/B0BTMRRKG7/ref=sr_1_30?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-30
27,Amazon,Phones,B0DLBFLPKH,S24 Ultra Unlocked Phone 8GB+256GB Android Cell Phone 7 inch HD Screen Mobile Phone 108MP+48MP Camera 6800 mAh Extra Large Battery 5G Dual SIM (Titanium Black),159.99,Livinyteb,S.24 U.ltra,256 GB,8 GB,Titanium Black,https://www.amazon.com/Livinyteb-Unlocked-Android-Battery-Titanium/dp/B0DLBFLPKH/ref=sr_1_31?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-31
28,Amazon,Phones,B0C2W7YYHM,"Motorola Edge+ | 2023 | Unlocked | Made for US 8/512 | 50 MPCamera | Intersteller Black, 161.16x74x8.59",399.99,Motorola,Edge Plus (2023),512 GB,8 GB,Interstellar Black,https://www.amazon.com/Motorola-Unlocked-MPCamera-Intersteller-161-16x74x8-59/dp/B0C2W7YYHM/ref=sr_1_32?dib=eyJ2IjoiMSJ9.8sH_AIDUlYCKJvEm_3dlyQBUJFqIpFlwNCQkeEJYOuXFlsY-qGLftj5Mk-SmDwLzPVGvufowWPnrfdIH7B5kXMjab7A1VAO8PjihilBeQSrpzexjNTtIY3CHCe_-cA7h1FQrRJcg6ASk1E9nhbZ9qjut8Smrrm5zWAo0vhFx2lZB_NhbZBl9BFYdYST1PhLbwqFmOJFsEmvNxDkIwSu2n-nr8-GUaQMF_d1ydY-QSUU.iHLZj5BNRtuw2k4DSCrRRAKLL_gHBFDTAM8b2Yn2W3M&dib_tag=se&keywords=phone&qid=1738691531&sr=8-32
